date,date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,score1,score2,team_rating_correct,team_rating_accuracy,team_confidence_level,certainty_range
1950-09-16,1950-09-16,1950,PHI,CLE,1674.314,1647.304,0.6294019745620898,0.3705980254379102,1672.67137427,1643.76893127,0.0,0.0,0.620405537635,0.379594462365,10.0,35.0,0,Incorrect,25.900000000000002,25-50
1950-09-17,1950-09-17,1950,BCL,WSH,1337.541,1454.448,0.4258506854804365,0.5741493145195635,1337.6325851,1454.72254181,0.0,0.0,0.425593200262,0.574406799738,14.0,38.0,1,Correct,14.799999999999999,10-25
1950-09-17,1950-09-17,1950,LAR,CHI,1564.606,1628.688,0.5013211051227595,0.4986788948772405,1564.94180775,1628.0839745,0.0,0.0,0.489788493518,0.510211506482,20.0,24.0,0,Incorrect,0.3,0-10
1950-09-17,1950-09-17,1950,GB,DET,1353.646,1449.128,0.4562450830636811,0.5437549169363188,1354.3999332,1449.70351065,0.0,0.0,0.44392173827,0.55607826173,7.0,45.0,1,Correct,8.799999999999999,0-10
1950-09-17,1950-09-17,1950,SF,NYY,1589.774,1321.925,0.8716953930135873,0.1283046069864126,1590.9230366,1321.90937565,0.0,0.0,0.872443355276,0.1275566447239999,17.0,21.0,0,Incorrect,74.3,50-75
1950-09-17,1950-09-17,1950,PIT,NYG,1485.849,1461.717,0.6255294000642098,0.3744705999357902,1485.7017011,1462.40563041,0.0,0.0,0.612518058022,0.387481941978,7.0,18.0,0,Incorrect,25.1,25-50
1950-09-22,1950-09-22,1950,LAR,NYY,1548.463,1354.986,0.8157648513671472,0.1842351486328528,1549.2268171,1355.01910902,0.6105,1.4025,0.815711818544,0.184288181456,45.0,28.0,1,Correct,63.2,50-75
1950-09-24,1950-09-24,1950,ARI,PHI,1554.09,1631.511,0.4821323556581008,0.5178676443418992,1553.45768842,1630.61302567,0.0,-6.1545,0.524949211351,0.4750507886489999,7.0,45.0,1,Correct,3.5999999999999996,0-10
1950-09-24,1950-09-24,1950,DET,PIT,1482.101,1453.448,0.6316053577729376,0.3683946422270624,1481.66175657,1454.11872911,5.7585,1.749,0.623151787632,0.376848212368,10.0,7.0,1,Correct,26.3,25-50
1950-09-24,1950-09-24,1950,SF,CHI,1556.713,1644.831,0.4667795362899907,0.5332204637100093,1557.81330323,1643.79896515,0.528,-1.5015,0.469059680733,0.530940319267,20.0,32.0,1,Correct,6.6000000000000005,0-10
1950-09-24,1950-09-24,1950,GB,WSH,1320.673,1481.231,0.3658467613244128,0.6341532386755871,1322.44168728,1481.48745545,-1.881,12.5895,0.339340067515,0.660659932485,35.0,21.0,0,Incorrect,26.8,25-50
1950-09-24,1950-09-24,1950,BCL,CLE,1310.758,1690.107,0.1406939351908571,0.8593060648091428,1310.86767146,1685.82727987,-0.1815,13.761,0.134175868448,0.865824131552,0.0,31.0,1,Correct,71.89999999999999,50-75
